Exercício,Categoria,Vídeo,alongamento,contraindicacoes,rehab_tags,movement_pattern
Peitorais Unilateral,Peitoral Maior,https://youtube.com/shorts/KYmbJJKl-hU?feature=share,1,lesao_manguito_rotador;recuperacao_cirurgia_mamaria;instabilidade_acromioclavicular;fratura_omoplata;epicondilite_lateral,reabilitacao_ombro;fortalecimento_peitoral;simetria_muscular;reeducacao_motora;progressao_exercicios,push
Peitorais Bilateral na Barra,Peitoral Maior,https://youtube.com/shorts/yYeof5A14io?feature=share,1,lesao_ombro;instabilidade_acromioclavicular;artrose_acromioclavicular;recuperacao_cirurgica_ombro;epicondilite_lateral;nenhuma,fortalecimento_peitoral;estabilizacao_ombro;reeducacao_muscular;reabilitacao_superior;progressao_exercicios,push
Ombro - Cápsula posterior do ombro e Manguito Internos com bastão,Manguito Rotador,https://youtube.com/shorts/ClE4ProhCt4?feature=share,1,luxacao_ombro_aguda;fratura_omoplata;rotura_manguito_rotador_grave;artrite_severa;instabilidade_ombro_nao_estabilizada;processo_inflamatorio_agudo,manguito_rotador;capsula_posterior;reabilitacao_ombro;alongamento;estabilidade_articular;recuperacao_tendinopatia,mobility
Ombro - Mobilidade com bastão - Alongamento,Manguito Rotador,https://youtube.com/shorts/LWVQRP5Eit0,1,luxacao_acromioclavicular;fratura_humeral;instabilidade_ombro;tenossinovite_bicipital;nenhuma,mobilidade_ombro;alongamento_manguito_rotador;reabilitacao_ombro;prevencao_lesao;recuperacao_articular,mobility
Linha Frontal Abdome,Reto Abdominal,https://youtube.com/shorts/whrA8mNESO8?feature=share,1,hernia_abdominal;distensao_muscular_abdominal;gravidez_terceiro_trimestre;cirurgia_abdominal_recente;escoliose_grave;dores_lombares_agudas;hernia_de_discos_lombares,estabilizacao_lombar;reabilitacao_abdominal;core_stability;fortalecimento_reto_abdominal;reabilitacao_postural,isometric
Ombro mobilidade no solo,Manguito Rotador,https://youtube.com/shorts/JyY2BFbEiDY?feature=share,1,luxacao_acromioclavicular;fratura_omoplata;instabilidade_acromioclavicular;tenossinovite_subacromial;artrose_glenoumeral_aguda;nenhuma,mobilidade_articular;recuperacao_ombro;reabilitacao_manguito_rotador;alongamento_dorso;prevencao_lesao,mobility
Linha Lateral,Deltoide Lateral,https://youtube.com/shorts/BqbTKyB6Vb4?feature=share,1,lesao_manguito_rotador;ombro_instavel;capsulite_adesiva;artrose_acromioclavicular;tendinopatia_subacromial,reabilitacao_ombro;fortalecimento_deltoides;estabilidade_acromioclavicular;recuperacao_manguito_rotador,push
Dorsal e Redondo Maior,Latíssimo do Dorso,https://youtube.com/shorts/fFE-HZxpp-A?feature=share,1,lesao_ligamento_acromioclavicular;hernia_de_disk_lombar;artrose_acromioclavicular;instabilidade_glenoumeral;fratura_omoplata,reabilitacao_dorsal;fortalecimento_latissimo;recuperacao_tendao;estabilidade_scapular;melhora_postural,pull
Linha anterior - Mobilidade de Quadril e tronco,Iliopsoas,https://youtube.com/shorts/v5jWGwzOMkU?feature=share,1,hernia_lombar;escoliose_grave;artrose_severa_de_quadril;fratura_recente_lombar;instabilidade_lombar,mobilidade_lombar;flexibilidade_iliopsoas;reabilitacao_lombar;alongamento_dorsal;estabilidade_pélvica,mobility
Quadrado Lombar e lombares - Inclinação lateral sentado com pernas afastadas,Eretores da Espinha,https://youtube.com/shorts/928U9l2Be4A?feature=share,1,hernia_de_discos_lombares;estenose_lombar;fratura_lombar;radiculopatia_ativa;inflamacao_aguda_da_coluna;nenhuma,estabilizacao_lombar;flexibilidade_lombar;correcao_postural;reeducacao_muscular;alivio_de_tensao,isometric
Lombar Paravertebrais e Glúteos,Eretores da Espinha,https://youtube.com/shorts/9X9lcgCnL48?feature=share,1,hernia_de_discos_lombar_ativa;fratura_lombar;radiculopatia_nao_estabilizada;espondilolistese_grau_iii_ou_iv;infeccao_aguda_da_coluna;neoplasia_lombar,estabilizacao_lombar;fortalecimento_paravertebral;reeducacao_postural;reabilitacao_dor_lombar;ativacao_glutea,isometric
Mobilidade torácica no solo,Eretores da Espinha,https://youtube.com/shorts/QwPFcFC3k78?feature=share,1,fratura_vertebral;hernia_discal_aguda;radiculopatia_ativa;osteoporose_grave;instabilidade_vertebral;nenhuma,reabilitacao_dor_lombar;mobilidade_toracica;correcao_postural;alongamento_espinhal;recuperacao_neurologica,mobility
Quadríceps - Puxar o pé em pé,Quadríceps,https://youtube.com/shorts/3lUvx6DZaiI?feature=share,1,lesao_quadriceps;hernia_lombar;instabilidade_joelho;artrose_grave_joelho;nervopatia_femoral,fortalecimento_quadriceps;reabilitacao_pós_cirurgia;estabilidade_joelho;controle_neuromuscular,isometric
Iliopsoas,Iliopsoas,https://youtube.com/shorts/0QjJPTPqRYU?feature=share,1,hernia_lombar;espondilolistese;sciatica_aguda;inflamacao_psoas;fratura_lombar,flexao_de_quadril;estabilizacao_lombar;alongamento;reabilitacao_lombar;reabilitacao_de_quadril,hinge
Reto Femoral e Iliopsoas,Iliopsoas,https://youtube.com/shorts/ZuRnJ4gcfPA?feature=share,1,hernia_lombar;escoliose_grave;lesao_femoral;ciatalgia;nenhuma,flexao_do_quadril;reabilitacao_lombar;alongamento_iliopsoas;estabilidade_pelvica;reeducacao_postural,hinge
Mobilidade de Tornozelo e Panturrilha,Gastrocnêmio,https://youtube.com/shorts/Hsmr6hTD7Mg?feature=share,1,fratura_recente;lesao_tendao_de_gole;artrose_grave;edema_ativo;infeccao_local,reabilitacao_ancora;recuperacao_lesao_panturrilha;mobilidade_articular;alongamento_dinamico;prevencao_lesao,mobility
Adutores Dinâmico,Adutores,https://youtube.com/shorts/U1wfphAn9iE?feature=share,1,hernia_ingual;lesao_adutores;artrose_quadril;dores_lombares_agudas;osteoporose_grave,fortalecimento_adutores;estabilidade_pelvica;reabilitacao_quadril;recuperacao_lesao_muscular,unilateral
Panturrilha em pé,Gastrocnêmio,https://youtube.com/shorts/fop16jBpPq4?feature=share,1,tendinopatia_achiles;fratura_tarsal;edema_agudo;hipertensao_nao_controlada;neuropatia_periferica,fortalecimento_panturrilha;recuperacao_lesao_achiles;reabilitacao_post_cirurgica;equilibrio;propriocepcao,isometric
Panturrilha inclinado na parede,Gastrocnêmio,https://youtube.com/shorts/Et0g-q7Vay4?feature=share,1,tendinopatia_achilles;fratura_tarsal;artrose_talocrural;edema_agudo;neuropatia_periferica,fortalecimento_panturrilha;reabilitacao_achilles;estabilidade_ankle;flexibilidade_calf,isometric
Isquiotibiais em pé,Isquiotibiais,https://youtube.com/shorts/KRNaHXlRXMQ?feature=share,1,lesao_ligamento_cruzado_anterior;hernia_lombar;escoliose_grave;distensao_isquiotibial;nenhuma,reabilitacao_lombar;recuperacao_isquiotibiais;estabilidade_lombar;alongamento_ativo;fortalecimento_posterior,hinge
